Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta;Total
2022-01-15;BTC;лонг;43381;1;41000;Выбило по стопу;1;0,01;-23,81;1976,19
2022-01-15;BNB;лонг;499;1;430;Выбило по стопу;1;0,1;-6,9;1969,29
2022-01-21;BTC;Шорт;41000;1;35680;Выбило ро тейку;1;0,03;159,6;2128,89
2022-01-21; ETH;шорт;3000;1;2750;Тейк ;1;0,1;25;2153,89
2022-01-21; ETH;шорт;3000;1;2486;Выбило ро тейку;1;0,1;51,4;2205,29
2022-01-21; ETH;шорт;3000;1;2486;Выбило ро тейку;1;0,1;51,4;2256,69
2022-01-21;BNB;шорт;430;1;400;Тейк ;1;0,1;3;2259,69
2022-01-21;BNB;шорт;426;1;371,29;Выбило ро тейку;1;0,1;5,471;2265,161
2022-01-21;BTC;Шорт;36800;1;35700;Закрыл вручную;1;0,03;33;2298,161
2022-01-21; ETH;шорт;2626;1;2475;Закрыл вручную;1;0,1;15,1;2313,261
2022-01-21;BNB;шорт;391;1;381;Закрыл вручную;1;1;10;2323,261
2022-01-24;BTC;шорт;34500;1;34250;Выбило по стопу;1;0,1;25;2348,261
2022-01-24;BTC;шорт;34500;1;34250;Выбило по стопу;1;0,1;25;2373,261
2022-01-24;BTC;шорт;34500;1;34250;Выбило по стопу;1;0,1;25;2398,261
2022-01-24; ETH;шорт;2330;1;2300;Выбило по стопу;1;0,4;12;2410,261
2022-01-24; ETH;шорт;2330;1;2280;Выбило по стопу;1;0,3;15;2425,261
2022-01-24; ETH;шорт;2330;1;2280;Выбило по стопу;1;0,3;15;2440,261
2022-01-24;BTC;шорт;34235;1;34250;Выбило по стопу;1;0,1;-1,5;2438,761
2022-01-24;BTC;шорт;34235;1;34250;Выбило по стопу;1;0,1;-1,5;2437,261
2022-01-24;BTC;шорт;34235;1;34250;Выбило по стопу;1;0,1;-1,5;2435,761
2022-01-24; ETH;шорт;2258;1;2300;Выбило по стопу;1;0,4;-16,8;2418,961
2022-01-24; ETH;шорт;2258;1;2280;Выбило по стопу;1;0,3;-6,6;2412,361
2022-01-24; ETH;шорт;2258;1;2280;Выбило по стопу;1;0,3;-6,6;2405,761
2022-01-24;BTC;лонг;37306;1;36600;Выбило по стопу;1;0,1;-70,6;2335,161
2022-01-24; ETH;лонг;2452;1;2414;Выбило по стопу;1;0,3;-11,4;2323,761
2022-01-25;BTC;шорт;36910;1;37400;Выбило по стопу;1;0,1;-49;2274,761
2022-01-25;BTC;шорт;36910;1;37400;Выбило по стопу;1;0,1;-49;2225,761
2022-01-25;BTC;шорт;36910;1;37400;Выбило по стопу;1;0,1;-49;2176,761
2022-01-26;BTC;шорт;37250;1;37300;Выбило по стопу;1;0,1;-5;2171,761
2022-01-26;BTC;шорт;37250;1;37300;Выбило по стопу;1;0,1;-5;2166,761
2022-01-26;BTC;шорт;37250;1;37300;Выбило по стопу;1;0,1;-5;2161,761
2022-01-26; ETH;шорт;2488;1;2495;Выбило по стопу;1;0,4;-2,8;2158,961
2022-01-26; ETH;шорт;2488;1;2495;Выбило по стопу;1;0,3;-2,1;2156,861
2022-01-26; ETH;шорт;2488;1;2495;Выбило по стопу;1;0,3;-2,1;2154,761
2022-01-26;BTC;лонг;37858;1;37743;Выбило по стопу;1;0,1;-11,5;2143,261
2022-01-26;BTC;лонг;37858;1;37743;Выбило по стопу;1;0,1;-11,5;2131,761
2022-01-26;BTC;лонг;37858;1;37743;Выбило по стопу;1;0,1;-11,5;2120,261
2022-01-26;BTC;лонг;38151;1;36758;Выбило по стопу;1;0,1;-139,3;1980,961
2022-01-26;BTC;лонг;38151;1;36758;Выбило по стопу;1;0,1;-139,3;1841,661
2022-01-26;BTC;лонг;38151;1;36758;Выбило по стопу;1;0,1;-139,3;1702,361
2022-01-27; ETH;лонг;2440;1;2500;Тейк ;1;0,4;24;1726,361
2022-01-27; ETH;лонг;2440;1;2500;Тейк ;1;0,4;24;1750,361
2022-01-27; ETH;лонг;2440;1;2500;Тейк ;1;0,4;24;1774,361
2022-01-27;BTC;лонг;36734;1;37586;Закрыл вручную;1;0,1;85,2;1859,561
2022-01-27;BTC;лонг;36734;1;37586;Закрыл вручную;1;0,1;85,2;1944,761
2022-01-27;BTC;лонг;36734;1;37586;Закрыл вручную;1;0,1;85,2;2029,961
2022-01-27; ETH;лонг;2426;1;2458;Закрыл вручную;1;0,4;12,8;2042,761
2022-01-27; ETH;лонг;2532;1;2603;Закрыл вручную;1;0,4;28,4;2071,161
2022-01-27; ETH;лонг;2529;1;2620;Закрыл вручную;1;0,4;36,4;2107,561
2022-01-27;BTC;лонг;36854;1;38612;Закрыл вручную;1;0,1;175,8;2283,361
2022-01-27;BTC;лонг;38120;1;39539;Закрыл вручную;1;0,1;141,9;2425,261
2022-01-27;BTC;лонг;37177;1;38880;take;1;0,1;170,3;2595,561
2022-01-31; ETH;лонг;2783;1;2834;Закрыл вручную;1;0,4;20,4;2615,961
2022-01-31; ETH;лонг;2783;1;2834;Закрыл вручную;1;0,4;20,4;2636,361
2022-01-31; ETH;лонг;2783;1;2834;Закрыл вручную;1;0,4;20,4;2656,761
2022-02-02;BTC;лонг;37544;1;37913;Закрыл вручную;1;0,1;36,9;2693,661
2022-02-02; ETH;лонг;2696;1;2672;Закрыл вручную;1;0,1;-2,4;2691,261
2022-02-08;BTC;шорт;43960;1;43585;Закрыл вручную;1;0,1;37,5;2728,761
2022-02-08; ETH;шорт;3135;1;3116;Закрыл вручную;1;0,4;7,6;2736,361
2022-02-08;BNB;шорт;433,7;1;426,3;Закрыл вручную;1;1;7,4;2743,761
2022-02-08;BTC;шорт;42362;1;42880;stop;1;0,1;-51,8;2691,961
2022-02-08;BTC;шорт;41930;1;42880;stop;1;0,1;-95;2596,961
2022-02-08; ETH;шорт;2972;1;3030;stop;1;0,4;-23,2;2573,761
2022-02-08; ETH;шорт;2856;1;3030;stop;1;0,4;-69,6;2504,161
2022-02-08;BNB;шорт;405,6;1;411;stop;1;1;-5,4;2498,761
2022-02-08;BNB;шорт;393;1;411;stop;1;1;-18;2480,761
2022-02-16;BTC;шорт;43220;1;42596;закрыл вручную;1;0,1;62,4;2543,161
2022-02-19;BTC;шорт;40345;1;38462;stop;1;0,1;188,3;2731,461
2022-02-20;BTC;шорт;38392;1;38462;stop;1;0,1;-7;2724,461
2022-02-21;BNB;шорт;382;1;385;stop;1;1;-3;2721,461
2022-02-21;BTC;шорт;37900;1;36576;закрыл вручную;1;0,1;132,4;2853,861
2022-02-21;BNB;шорт;369,2;1;351,8;закрыл вручную;1;1;17,4;2871,261
2022-02-22;BTC;шорт;36495;1;36915;stop;1;0,1;-42;2829,261
2022-02-22;BNB;шорт;351,8;1;361,1;stop;1;1;-9,3;2819,961
2022-02-22;ETH;шорт;2515;1;2582;stop;1;0,2;-13,4;2806,561
2022-02-22;ETH;шорт;2515;1;2582;stop;1;0,2;-13,4;2793,161
2022-02-22;BTC;шорт;37498;1;37864;stop;1;0,1;-36,6;2756,561
2022-02-22;ETH;шорт;2590;1;2621;stop;1;0,2;-6,2;2750,361
2022-02-22;ETH;шорт;2590;1;2621;stop;1;0,2;-6,2;2744,161
2022-02-22;BNB;шорт;364,1;1;367,5;stop;1;1;-3,4;2740,761
2022-02-22;BTC;шорт;35602;1;34621;take;1;0,1;98,1;2838,861
2022-02-22;ETH;шорт;2379;1;2419;take;1;0,2;-8;2830,861
2022-02-22;ETH;шорт;2379;1;2419;take;1;0,2;-8;2822,861
2022-02-22;BNB;шорт;338;1;343;take;1;1;-5;2817,861
2022-02-22;BTC;шорт;39478;1;39027;take;1;0,1;45,1;2862,961
2022-03-10;BTC;шорт;39061,2;1;39550;stop;1;0,01;-4,888;2858,073
2022-03-10;BTC;шорт;39021;1;39520;stop;1;0,01;-4,99;2853,083
2022-03-10;BNB;лонг;367,8;1;377,4;hands;1;0,897;8,6112;2861,6942
2022-03-10;SOL;лонг;82,03;1;83,5;take;1;3;4,41;2866,1042
2022-03-10;LUNA;шорт;98,07;1;99,75;stop;1;2;-3,36;2862,7442
2022-03-11;LTC;шорт;103,32;1;105,16;stop;1;5;-9,2;2853,5442
2022-03-11;DYDX;шорт;4,75;1;4,671;take;1;500;38;2891,5442
2022-03-11;SOL;шорт;83,49;1;84,22;take;1;3;-2,19;2889,3542
2022-03-11;BTC;шорт;39899,9;1;39438,2;take;1;0,01;4,617;2893,9712
2022-03-11;BNB;шорт;377,37;1;372,93;take;1;1;4,44;2898,4112
2022-03-11;LUNA;лонг;92,07;1;91,81;stop;1;50;-13;2885,4112
2022-03-11;LUNA;лонг;90,85;1;90,02;stop;1;10;-8,3;2877,1112
2022-03-12;LUNA;шорт;89,49;1;89,83;stop;1;30;-10,2;2866,9112
2022-03-12;LTC;шорт;104,98;1;105,51;stop;1;10;-5,3;2861,6112
2022-03-12;ALPHA;лонг;0,27;1;0,2674;stop;1;2000;-3,4;2858,2112
2022-03-12;BNB;лонг;377,2;1;376,62;take;1;10;-5,8;2852,4112
2022-03-12;SOL;шорт;81,93;1;81,85;take;1;30;2,4;2854,8112
2022-03-12;DYDX;шорт;4,75;1;4,73;hands;1;1000;20;2874,8112
2022-03-14;ATOM;шорт;26,6;1;26,76;stop;1;200;-32;2842,8112
2022-03-15;ALPHA;шорт;0,27;1;0,2778;stop;1;200;-2,08;2840,7312
2022-03-15;SOL;шорт;80;1;82,3;stop;1;1;-2,3;2838,4312
2022-03-15;BTC;шорт;39435;1;40000;stop;1;0,01;-5,65;2832,7812
2022-03-15;ALGO;лонг;0,7;1;0,7206;TAKE;1;200;3,52;2836,3012
2022-03-15;ALGO;лонг;0,69;1;0,733;TAKE;1;200;8,6;2844,9012
2022-03-15;EGLD;шорт;150,3;1;154,5;stop;1;1;-4,2;2840,7012
2022-03-16;RAY;шорт;2,55;1;2,46;TAKE;1;100;9;2849,7012
2022-03-16;MATIC;шорт;1,46;1;1,48;stop;1;100;-2;2847,7012
2022-03-16;DYDX;шорт;4,6;1;4,63;stop;1;50;-1,5;2846,2012
2022-03-16;ANKR;шорт;0,0745;1;0,0745;stop;1;3000;0;2846,2012
2022-03-16;ALPHA;шорт;0,27;1;0,2778;stop;1;300;-2,04;2844,1612
2022-03-16;GRT;шорт;0,418;1;0,423;stop;1;500;-2,5;2841,6612
2022-03-16;EGLD;шорт;161;1;155;TAKE;1;1;6;2847,6612
2022-03-16;EGLD;шорт;159;1;154;TAKE;1;1;5;2852,6612
2022-03-16;EGLD;шорт;158;1;158;stop;1;1;0;2852,6612
2022-03-17;RAY;шорт;2,55;1;2,506;TAKE;1;24,3;1,0206;2853,6818
2022-03-17;SOL;шорт;90;1;88,7;TAKE;1;1;1,3;2854,9818
2022-03-17;SOL;шорт;89,8;1;86,7;TAKE;1;1;3,1;2858,0818
2022-03-17;SOL;шорт;89,5;1;84,5;TAKE;1;1;5;2863,0818
2022-03-17;ANKR;лонг;0,07208;1;0,07208;stop;1;3000;0;2863,0818
2022-03-17;ANKR;лонг;0,07252;1;0,07178;stop;1;3000;-2,22;2860,8618
2022-03-17;ANKR;лонг;0,07231;1;0,07138;stop;1;3000;-2,79;2858,0718
2022-03-18;GRT;лонг;0,4;1;0,426;TAKE;1;500;13;2871,0718
2022-03-18;LINA;лонг;0,02001;1;0,0212;TAKE;1;3000;3,57;2874,6418
2022-03-18;LINA;лонг;0,02033;1;0,0214;hands;1;5000;5,35;2879,9918
2022-03-18;LINA;лонг;0,02033;1;0,0214;hands;1;5000;5,35;2885,3418
2022-03-18;XTZ;лонг;3,063;1;3,125;TAKE;1;30;1,86;2887,2018
2022-03-18;XTZ;лонг;3,091;1;3,15;TAKE;1;40;2,36;2889,5618
2022-03-18;XTZ;лонг;3,11;1;3,2;TAKE;1;30;2,7;2892,2618
2022-03-18;SOL;лонг;88,6;1;90;hands;1;1;1,4;2893,6618
2022-03-18;ALPHA;лонг;0,28;1;0,2945;TAKE;1;300;3,06;2896,7218
2022-03-18;ALPHA;лонг;0,29;1;0,3;TAKE;1;300;4,08;2900,8018
2022-03-18;ALPHA;лонг;0,27;1;0,2945;hands;1;300;8,13;2908,9318
2022-03-18;ALGO;лонг;0,75;1;0,7661;hands;1;200;2,52;2911,4518
2022-03-18;DOT;лонг;18,73;1;19,18;TAKE;1;5;2,25;2913,7018
2022-03-18;DOT;лонг;18,85;1;19,35;TAKE;1;5;2,5;2916,2018
2022-03-18;DOT;лонг;19;1;18,93;TAKE;1;5;-0,35;2915,8518
2022-03-18;EGLD;лонг;163,83;1;157,7;stop;1;1;-6,13;2909,7218
2022-03-18;ETH;лонг;2924,73;1;2948;hands;1;0,1;2,327;2912,0488
2022-03-18;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44;2910,6088
2022-03-18;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44;2909,1688
2022-03-18;ATOM;шорт;27,94;1;28,12;stop;1;8;-1,44;2907,7288
2022-03-18;NULS;лонг;0,386;1;0,42;TAKE;1;300;10,2;2917,9288
2022-03-18;LTC;лонг;108;1;110;TAKE;1;2;4;2921,9288
2022-03-18;LTC;лонг;108;1;111;TAKE;1;2;6;2927,9288
2022-03-18;LTC;лонг;109;1;113;TAKE;1;2;8;2935,9288
2022-03-18;LTC;лонг;109;1;117;TAKE;1;2;16;2951,9288
2022-03-18;ATOM;лонг;27,26;1;27,26;stop;1;8;0;2951,9288
2022-03-19;ETH;лонг;2945;1;2965;TAKE;1;0,1;2;2953,9288
2022-03-19;ETH;лонг;2945;1;2936;hands;1;0,1;-0,9;2953,0288
2022-03-19;ETH;лонг;2945;1;2936;hands;1;0,1;-0,9;2952,1288
2022-03-19;CFX;лонг;0,11;1;0,127;hands;1;1000;19;2971,1288
2022-03-19;CFX;лонг;0,11;1;0,127;hands;1;1000;19;2990,1288
2022-03-19;CFX;лонг;0,11;1;0,127;hands;1;1000;19;3009,1288
2022-03-19;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39;3007,7388
2022-03-19;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39;3006,3488
2022-03-19;AVAX;шорт;89,71;1;91,1;hands;1;1;-1,39;3004,9588
2022-03-19;NULS;лонг;0,386;1;0,4143;hands;1;300;8,49;3013,4488
2022-03-19;NULS;лонг;0,386;1;0,4143;hands;1;300;8,49;3021,9388
2022-04-06;EGLD;шорт;173,65;1;165,57;hands;1;20;161,6;3183,5388
2022-04-06;BTC;лонг;44877;1;43754;stop;1;0,2;-224,6;2958,9388
2022-04-06;DOT;шорт;20,71;1;20,661;hands;1;100;5,1;2964,0388
2022-04-06;BTC;шорт;43643;1;44177,7;stop;1;0,1;-53,47;2910,5688
2022-04-06;ETH;шорт;3206,56;1;3238;stop;1;1;-31,44;2879,1288
2022-04-07;LTC;лонг;113,24;1;113,12;hands;1;50;-6;2873,1288
2022-04-07;BNB;шорт;429,56;1;434;stop;1;10;-44,4;2828,7288
2022-04-07;LTC;шорт;113,1;1;114,58;stop;1;75;-111;2717,7288
2022-04-07;KSM;шорт;182,12;1;179,6;hands;1;20;50,4;2768,1288
2022-04-07;SOL;лонг;113,25;1;117,19;Take;1;20;78,8;2846,9288
2022-04-07;LUNA;шорт;104,69;1;104,575;stop;1;10;1,15;2848,0788
2022-04-07;DOT;шорт;20,26;1;20,453;stop;1;100;-19;2829,0788
2022-04-07;ALGO;шорт;0,8;1;0,8039;stop;1;1000;-5,6;2823,4788
2022-04-07;ETH;шорт;3218,24;1;3230,21;stop;1;1;-11,97;2811,5088
2022-04-07;ALGO;шорт;0,8;1;0,8043;stop;1;2000;-11,6;2799,9088
2022-04-08; SOL;шорт;117,93;1;118,9;stop;1;20;-19,4;2780,5088
2022-04-08;ALGO;шорт;0,79;1;0,7941;stop;1;2000;-9,6;2770,9088
2022-04-08; SOL;лонг;118,89;1;119,24;Take;1;20;7;2777,9088
2022-04-08;LUNA;лонг;102,13;1;101,268;stop;1;20;-17,3;2760,6088
2022-04-08;BNB;шорт;427,48;1;426,08;Take;1;7;9,8;2770,4088
2022-04-08;ALGO;лонг;0,78;1;0,7786;stop;1;2000;-11;2759,4088
2022-04-08;BTC;шорт;42888,7;1;43115,7;stop;1;0,1;-22,7;2736,7088
2022-04-08;ETH;шорт;3215,96;1;3241,22;stop;1;1;-25,26;2711,4488
2022-04-08;DOT;лонг;20,04;1;20,227;Take;1;50;9,6;2721,0488
2022-04-08;LUNA;лонг;100,17;1;100,916;Take;1;10;7,46;2728,5088
2022-04-09;ALGO;лонг;0,78;1;0,7724;stop;1;2000;-12;2716,5088
2022-04-09;BTC;шорт;42450,2;1;43164,5;stop;1;0,1;-71,43;2645,0788
2022-04-09;NEAR;шорт;16,79;1;17,135;stop;1;100;-34,6;2610,4788
2022-04-09;BNB;шорт;428,38;1;429,35;stop;1;0,5;-0,485;2609,9938
2022-04-09;EGLD;шорт;166,12;1;167,48;stop;1;1;-1,36;2608,6338
2022-04-09;BTC;шорт;42546,5;1;43164,5;stop;1;0,01;-6,18;2602,4538
2022-04-09;EGLD;шорт;165,85;1;167,48;stop;1;1;-1,63;2600,8238
2022-04-09;BNB;шорт;423,39;1;429,35;stop;1;0,5;-2,98;2597,8438
2022-04-10;BTC;шорт;42600,8;1;43164,5;stop;1;0,02;-11,274;2586,5698
2022-04-10;BNB;шорт;425,62;1;422,03;hands;1;0,5;1,795;2588,3648
2022-04-10;BTC;шорт;42601,1;1;43164,5;stop;1;0,01;-5,634;2582,7308
2022-04-10;BTC;шорт;42548,4;1;43164,5;stop;1;0,01;-6,161;2576,5698
2022-04-10;BNB;шорт;424,08;1;422,03;hands;1;0,5;1,025;2577,5948
2022-04-10;CHR;лонг;0,49;1;0,4835;stop;1;200;-1,34;2576,2548
2022-04-10;BTC;шорт;42503,6;1;43164,5;stop;1;0,02;-13,218;2563,0368
2022-04-11;BTC;лонг;40975,9;1;40812,9;stop;1;0,02;-3,26;2559,7768
